,Name,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT",DEF WS
18,Josh Reaves,DAL,23,4,2,2,7.1,91.7,0.5,6.3,8.3,0,0,0,0,0,1.5,1.5,5,0.058
19,Joe Chealey,CHA,24,4,1,3,8.4,93,0,0,0,1,44.4,0,0,5,2,4,7.5,0.067
20,Brian Bowen II,IND,21,6,5,1,5.2,93.5,1,16.2,22.2,0,0,0.2,16.7,1.2,1,1.5,4.7,0.037
21,Kyle Alexander,MIA,23,2,0,2,6.7,93.8,0.5,6.7,9.1,0,0,0,0,5.5,1,4,7,0.057
22,Nigel Williams-Goss,UTA,25,10,6,4,5,94.5,0.4,7,10.3,0.3,50,0.1,25,1.3,1.3,0.8,3.8,0.038
23,Devon Hall,OKC,24,11,6,5,7.3,94.6,0.5,6,7.7,0.4,30.8,0.1,11.1,2.1,1.1,1.5,7.5,0.058
24,David Nwaba,HOU,27,20,8,12,13.4,94.9,1.9,10.9,15.7,0.6,29.7,0.6,41.4,5.7,4.1,3.4,9.1,0.096
25,Luka Samanic,SAS,20,3,1,2,16.1,96.2,3,16.7,22,0,0,0.7,22.2,8.3,5,3.7,16,0.111
26,Oshae Brissett,TOR,22,19,15,4,7.1,96.5,0.9,10.9,15.9,0.2,19,0.1,5.9,2.9,2.3,1.3,5.9,0.047
27,Cameron Payne,PHX,25,8,8,0,22.9,96.5,3.4,13.1,17.9,1,28.6,0.3,14.3,7.6,5,6.3,20.5,0.155
28,Stanley Johnson,TOR,24,25,19,6,6,96.7,1.2,16.5,24,0.2,24,0.2,17.4,2.6,1.4,1.8,5,0.041
29,Giannis Antetokounmpo,MIL,25,63,51,12,30.4,97.4,11.4,30.7,40.9,1,20.7,1,25,9.2,6.6,7.7,22.9,0.195
30,T.J. Leaf,IND,23,28,16,12,7.9,97.5,1.7,17.4,27.3,0.4,33.3,0.1,12.9,2.9,2.4,2.1,7.6,0.053
31,Jarrod Uthoff,WAS,27,7,4,3,7.6,98.2,0.6,7.4,10.8,0.1,11.1,0,0,3,2.1,1.7,7.1,0.045
32,Wesley Matthews,MIL,33,67,52,15,24.4,98.3,2.1,7.3,9.6,0.6,14.7,0.1,4.9,7.5,5.3,7,19.1,0.149
33,Louis King,DET,21,10,3,7,6.2,98.4,0.9,14.1,18.8,0.2,22.2,0,0,1,2.2,0.8,5.2,0.036
34,Jared Dudley,LAL,34,45,30,15,8.1,98.4,1,11.9,17,0.3,23.4,0.1,7.5,3.1,2,2.2,7.1,0.048
35,Alize Johnson,IND,24,17,10,7,6.9,98.4,1.9,24.1,34.4,0.2,15,0.1,13.3,3.1,1.2,2.3,5.2,0.044
36,Jaylen Nowell,MIN,20,15,2,13,10.1,98.5,0.7,6.5,9.5,0.2,10.3,0.1,6.7,3.5,1.8,3.3,11.1,0.062
37,Chris Chiozza,BKN,24,28,14,14,14.3,98.5,1.6,10.2,15.1,0.8,28.8,0.1,9.1,4.3,3.3,2.5,11.1,0.088
38,Frank Mason III,MIL,26,9,6,3,13.1,98.9,1.6,9.7,14.3,0.6,27.8,0.1,12.5,5.7,3.2,2.9,11.1,0.079
39,Marc Gasol,TOR,35,44,35,9,26.4,98.9,5.5,18.7,27.4,0.8,14.8,0.9,32.2,8.2,6.8,6.6,21.7,0.155
40,Yuta Watanabe,MEM,25,18,9,9,5.8,99.1,0.7,11.8,18.3,0.3,19.2,0.1,10,2.2,1.7,1.3,4.7,0.034
41,Tremont Waters,BOS,22,11,8,3,10.8,99.2,1.1,8.9,13.2,0.9,47.6,0.2,11.8,4.6,3.5,3.5,9.6,0.063
42,Michael Kidd-Gilchrist,DAL,26,25,12,13,11.2,99.3,2.1,16.9,25,0.1,5.4,0.2,18.8,2.7,2.9,2.8,8.8,0.064
43,Paul Watson,TOR,25,10,7,3,8.7,99.5,1.5,16.3,25.4,0.4,20,0.1,12.5,3.6,1.1,2.2,7.4,0.053
44,Donte DiVincenzo,MIL,23,66,53,13,23,99.6,3.8,14,19.2,1.3,33.1,0.3,10.9,8.3,5.5,7.3,19.7,0.132
45,Shaquille Harrison,CHI,26,43,14,29,11.3,99.7,1.5,13.9,20.2,0.8,28.1,0.4,35.8,3.6,2.7,2.3,10.3,0.065
46,Theo Pinson,NYK,24,33,15,18,11.1,99.7,1.3,10.1,15.9,0.5,28.3,0.1,11.8,4.6,4,3,8.7,0.065
47,Justise Winslow,MEM,24,11,7,4,32,99.9,5.2,15.4,21.4,0.6,11.9,0.5,13.5,12.2,7.7,9.6,27.6,0.181
48,Isaiah Roby,OKC,22,3,2,1,3.8,100,0.7,16.7,25,0,0,0,0,1.3,2.3,0,4.7,0.024
48,Kostas Antetokounmpo,LAL,22,5,3,2,4,100,0.2,5,7.7,0,0,0,0,1.4,1,2.2,5.6,0.025
48,Luc Mbah a Moute,HOU,33,3,1,2,8.2,100,0.3,3.7,5,0.7,22.2,0,0,4.7,2,0,10.7,0.053
51,Brook Lopez,MIL,32,68,53,15,26.7,100.1,3.7,11.8,15.5,0.7,16.7,2.4,62,8.4,5.8,7,21.3,0.148
52,Al-Farouq Aminu,ORL,29,18,7,11,21.1,100.1,3.5,15.8,22.3,1,26.5,0.4,14.8,7.8,4.9,5.5,18.7,0.117
53,Justin James,SAC,23,36,14,22,6.5,100.2,0.7,11.1,16.5,0.2,16.7,0.3,37.5,2,1.3,1.4,5.7,0.038
54,Juwan Morgan,UTA,23,21,12,9,6.4,100.3,0.9,12.8,18.4,0,5.3,0.1,20,2.7,1.4,1.1,6.4,0.037
55,Carsen Edwards,BOS,22,37,25,12,9.5,100.4,1.1,10.7,15.5,0.3,23.5,0.1,8.7,3.5,2.4,3.5,9.1,0.054
56,Eric Bledsoe,MIL,30,61,48,13,27,100.8,3.9,12.1,16.2,0.9,24.2,0.4,11.6,8.8,6.1,7.1,22.3,0.147
57,Khris Middleton,MIL,28,62,46,16,29.9,100.9,5.5,15.7,20.8,0.9,18.1,0.1,3.1,9.5,6.4,8.2,22,0.159
58,Alex Caruso,LAL,26,64,48,16,18.4,101,1.7,8.5,12.4,1.1,31.4,0.3,12.1,6.1,4.4,4.8,16.9,0.098
59,Raul Neto,PHI,28,54,29,25,12.4,101.1,0.9,7.2,10.3,0.4,21.1,0.1,7.9,4.8,3.2,3.2,12.6,0.066
60,Sterling Brown,MIL,25,52,39,13,14.7,101.7,2.9,16.8,23.2,0.6,23.6,0.1,8.4,6.4,3.7,3.8,12.1,0.075
61,Kevin Hervey,OKC,23,10,3,7,5.2,101.7,1.1,21.6,29.7,0.1,8.3,0.1,33.3,1.3,1.6,1.3,4.8,0.029
62,Matt Thomas,TOR,25,41,31,10,10.7,101.8,1.3,10,14.3,0.2,16.4,0,1.7,4.6,2.6,2.7,9.4,0.055
63,Hamidou Diallo,OKC,21,46,25,21,19.5,101.9,2.7,12.4,18,0.8,31.6,0.2,9.2,6.7,4.7,4.5,18.9,0.1
64,Joel Embiid,PHI,26,51,32,19,29.5,102,8.9,27.9,39,0.9,18.8,1.3,40.1,9.8,6.9,8,26,0.15
65,George Hill,MIL,34,59,47,12,21.5,102.1,2.2,8.6,11.9,0.8,24.7,0.1,3.6,7.7,5.1,6.2,15.8,0.106
66,Darius Bazley,OKC,20,61,36,25,18.5,102.1,3.5,17.2,25.7,0.4,13.9,0.7,31.3,6.9,5.2,4.2,18,0.093
67,Romeo Langford,BOS,20,32,22,10,11.6,102.2,0.8,6.5,9,0.3,14.3,0.3,17.4,3.5,2.6,3.1,9.9,0.058
68,Tyrone Wallace,ATL,26,14,3,11,11.5,102.3,1.4,12.3,19,0.5,22.6,0.1,6.3,3.7,2.7,2.5,9.1,0.057
69,Vic Law,ORL,24,8,2,6,7.7,102.3,1.1,14.5,24.3,0.3,11.8,0,0,2.4,1.9,2.1,9,0.038
70,Caleb Martin,CHA,24,18,6,12,17.6,102.4,1.6,8.6,12.9,0.7,27.3,0.4,24.1,5.2,4.1,4.2,15.4,0.085
71,Eric Mika,SAC,25,1,0,1,19,102.4,5,26.3,35.7,0,0,0,0,3,3,8,10,0.095
72,Quinn Cook,LAL,27,44,31,13,11.5,102.5,0.9,7.1,10.2,0.3,14.5,0,2.9,3.9,3.1,4.1,11.3,0.057
73,Dennis Schroder,OKC,26,65,40,25,30.8,103,3.3,9.9,15,0.7,14.4,0.2,6,10.4,8.2,6.7,30.3,0.146
74,Terance Mann,LAC,23,41,27,14,8.8,103,1.1,11.2,16.4,0.3,19,0.1,14.7,3.5,2.4,2.3,9.2,0.043
75,Ryan Anderson,HOU,32,2,1,1,7,103,3.5,46.7,70,0.5,100,0,0,3.5,3,2,9,0.035
76,Pascal Siakam,TOR,26,60,46,14,35.2,103,6.3,16.2,23.6,1,15.1,0.9,26.5,11.1,9,8.5,30.5,0.164
77,Kelan Martin,MIN,24,31,12,19,16,103.1,2.7,15.4,23.1,0.2,7.3,0.3,13.6,5.6,4.3,3.2,16.1,0.076
78,Robin Lopez,MIL,32,66,51,15,14.5,103.1,1.6,9.2,12.9,0.2,7.5,0.7,45,6,3.7,4.7,12,0.068
79,Dewan Hernandez,TOR,23,6,6,0,4.7,103.1,1.5,26.5,36,0.2,33.3,0,0,1.5,1.3,1,4.7,0.023
80,Malcolm Miller,TOR,27,28,24,4,5.8,103.2,0.5,7.7,10.8,0.2,21.7,0.1,12.5,2,1.9,1.5,4.9,0.027
81,Gorgui Dieng,MEM,30,63,20,43,17.4,103.2,4.2,22.1,32.7,0.8,26,0.9,39.3,6.8,4.8,4.7,16.3,0.08
82,Troy Daniels,DEN,28,47,34,13,11.3,103.3,0.9,6.8,10.6,0.2,11.8,0.1,4.9,3.8,3.2,3.4,10.7,0.054
83,Keldon Johnson,SAS,20,17,8,9,17.7,103.4,2.8,14.6,19.7,0.8,23.3,0.1,7.1,5.6,4.5,3.5,19.4,0.087
84,Joakim Noah,LAC,35,5,4,1,10,103.4,2.2,16.9,25,0.2,14.3,0.2,100,6,2.2,2.6,11.2,0.05
85,Mo Bamba,ORL,22,62,30,32,14.2,103.4,3.3,21.6,33.2,0.4,15.1,1.4,58.1,4.5,3.7,3.9,12.9,0.065
86,Jayson Tatum,BOS,22,66,46,20,34.3,103.5,6,16.5,23.8,1.4,23,0.9,20.9,9.9,9.1,9.2,29.9,0.156
87,Grant Williams,BOS,21,69,47,22,15.1,103.5,1.7,10.6,15.4,0.4,16.9,0.5,29,4.9,3.8,4.3,13.3,0.07
88,Evan Turner,MIN,31,19,3,16,13.2,103.6,1.6,10.7,17.4,0.5,17,0.4,25.8,7.2,4.5,3.7,14,0.061
89,Kris Dunn,CHI,26,51,19,32,24.9,103.6,3.2,13.2,19,2,34.1,0.3,16,9.1,6.2,6.5,23.7,0.113
90,LeBron James,LAL,35,67,50,17,34.6,103.6,6.9,19.1,26.9,1.2,19.1,0.5,10.6,12.2,8.1,11.6,32.1,0.154
91,Mfiondu Kabengele,LAC,22,12,9,3,5.4,103.6,0.8,15.9,23.3,0.2,15.4,0.2,66.7,2.3,1.2,1.3,5.5,0.024
92,Kyle Korver,MIL,39,58,43,15,16.6,103.7,1.8,9.1,13.3,0.4,20.5,0.2,9.8,6.6,4.4,4.7,14.2,0.076
93,Goga Bitadze,IND,20,54,32,22,8.7,103.7,1.5,14.6,23.4,0.2,13.9,0.7,63.8,2.9,2.7,2.4,9.5,0.041
94,Thanasis Antetokounmpo,MIL,27,20,16,4,6.4,103.8,0.6,8.1,10.7,0.4,36.8,0.1,18.2,2.8,1.7,1.7,5.5,0.029
95,Chris Boucher,TOR,27,62,45,17,13.2,103.8,2.7,18.5,28.7,0.4,16.7,1,52.6,5.4,4,3.6,10.8,0.059
96,JaKarr Sampson,IND,27,34,21,13,13.8,103.8,2,14.1,20.1,0.5,20,0.4,30,4.6,3,4.3,13.7,0.064
97,Pat Connaughton,MIL,27,67,53,14,18.6,103.8,3.3,15.1,21,0.4,15.5,0.5,21.7,6.8,4.8,5.7,15.7,0.083
98,Enes Freedom,BOS,28,58,36,22,17,103.9,4.6,25.7,36.9,0.4,15.4,0.7,47.7,5.2,4.5,4.4,16.1,0.075
99,Noah Vonleh,DEN,24,36,13,23,10.5,103.9,2.4,20.5,33.1,0.3,17.2,0.2,13,3.8,3.5,2.9,10.8,0.05
100,Terence Davis,TOR,23,72,53,19,16.8,103.9,2.6,13.7,21.2,0.5,19.8,0.2,9.4,6.5,5.1,4.6,14.1,0.074
101,Avery Bradley,LAL,29,49,36,13,24.2,104,2,7.7,11,0.9,20.1,0.1,3,9.2,6.2,10.1,24.4,0.108
102,Patrick Beverley,LAC,31,51,38,13,26.3,104,4.1,14.5,20.5,1.1,24.1,0.5,17.6,8.8,6.2,7.1,21.4,0.114
103,Kyle Lowry,TOR,34,58,41,17,36.2,104,4.5,11.5,16.8,1.4,20.8,0.4,12.7,12.1,9.6,9.6,31.5,0.159
104,Daniel Theis,BOS,28,65,42,23,24.1,104,4.4,17.2,24.9,0.6,13.4,1.3,43.3,7.1,6.3,6.5,20.9,0.105
105,Jalen Lecque,PHX,20,5,2,3,6.3,104.1,0.4,5.7,9.1,0,0,0,0,1.4,3,1.4,4.4,0.03
106,Tyson Chandler,HOU,37,26,15,11,8.4,104.1,1.6,17.2,24.3,0.2,14.6,0.3,57.1,2.8,2,2.2,8.6,0.038
107,Deonte Burton,OKC,26,39,22,17,9.1,104.1,1.3,11.9,18.1,0.2,15.2,0.3,27.8,2.7,2.7,2.2,9.6,0.042
108,Ivica Zubac,LAC,23,72,49,23,18.4,104.1,4.8,24,33.4,0.2,7.1,0.9,47.1,5.9,4.3,5.3,15.6,0.079
109,OG Anunoby,TOR,22,69,50,19,29.9,104.2,4.1,12.9,18.7,1.4,23.8,0.7,24.6,10.1,8.4,7.9,26.5,0.13
110,Rodions Kurucs,BKN,22,47,18,29,14.5,104.2,2.4,14.1,21,0.5,24.8,0.1,8.9,5.8,4.4,3.2,13.1,0.065
111,Rondae Hollis-Jefferson,TOR,25,60,43,17,18.7,104.3,2.9,14.3,21.6,0.8,22.5,0.4,18.1,6.8,5.3,5.2,14.6,0.081
112,Fred VanVleet,TOR,26,54,40,14,35.7,104.3,3.4,8.8,13,1.9,28.9,0.3,8.9,12,9.9,9.3,29.7,0.152
113,Bruno Caboclo,HOU,24,30,11,19,8.1,104.3,1.2,14.5,21.9,0.5,23.4,0.6,51.5,3.9,2.8,2.1,6.7,0.036
114,Adam Mokoka,CHI,21,11,3,8,10.2,104.4,0.3,2.9,4.5,0.4,16.7,0,0,2.7,3,2.1,8.7,0.042
115,Udonis Haslem,MIA,40,4,3,1,11,104.4,3.8,34.9,53.6,0,0,0,0,2,5,3,9,0.046
116,Paul Millsap,DEN,35,51,30,21,24.3,104.5,3.8,15.7,22.4,0.9,19.1,0.6,30.6,8,5.6,6.2,22.7,0.103
117,Dion Waiters,LAL,28,10,4,6,20.7,104.5,2.2,10.2,14.3,0.4,13.8,0.6,26.1,6.8,5,5.1,17.2,0.089
118,Daniel Gafford,CHI,21,43,15,28,14.2,104.5,1.3,9.2,14.8,0.3,10.4,1.3,70,4.9,3.8,3.8,13.9,0.061
119,Mike Scott,PHI,31,68,39,29,17.8,104.6,2.7,14.8,21.2,0.3,11.1,0.1,3.6,5.9,4.3,5.4,18.2,0.076
120,Marcus Smart,BOS,26,60,39,21,32,104.6,3.1,8.9,13,1.7,27.7,0.5,13.3,9.8,8.9,8.4,27.7,0.136
121,Isaiah Hartenstein,HOU,22,23,16,7,11.6,104.6,2.7,20,31.1,0.4,25.7,0.5,50,4.8,3.6,3.9,12.4,0.049
122,Jake Layman,MIN,26,23,11,12,22,104.6,1.7,7.5,11.1,0.7,16.3,0.4,20,8.2,6.2,5.1,21.1,0.097
123,Amir Coffey,LAC,23,18,11,7,8.8,104.6,0.7,6.6,9.8,0.3,26.3,0.1,20,4.9,2.1,2.1,8.9,0.038
124,Norman Powell,TOR,27,52,40,12,28.4,104.6,3.2,9.8,14.9,1.2,20.7,0.4,13.9,9.7,8.9,7.9,25.8,0.122
125,Wes Iwundu,ORL,25,52,23,29,18.3,104.6,2.1,10.9,15.4,0.5,15.8,0.3,13.4,5.3,4.4,4.8,18.1,0.077
126,D.J. Augustin,ORL,32,57,28,29,24.9,104.6,1.8,6.7,9.7,0.6,14.5,0,0.6,7.9,6.3,7.2,23.6,0.104
127,Derrick Walton Jr.,DET,25,26,15,11,9.6,104.6,0.5,5.4,8.2,0.3,17.9,0,0,3.2,2.1,3,10.2,0.042
128,John Henson,DET,29,40,8,32,15,104.7,2.9,19.1,27.1,0.6,25.5,1.1,67.7,5.6,3.8,3.4,14.1,0.065
129,Jordan Bone,DET,22,10,3,7,5.3,104.7,0.4,9.1,14.3,0.1,11.1,0,0,1.2,1.7,0.4,5,0.022
130,Garrison Mathews,WAS,23,18,8,10,12.6,104.7,1,7.5,11.9,0.4,19,0.1,6.3,3.9,4.3,1.9,12.3,0.053
131,D.J. Wilson,MIL,24,37,29,8,9.8,104.7,2.2,18.1,25.7,0.1,7.3,0.1,13.5,5.4,2.9,2.7,8.7,0.041
132,Denzel Valentine,CHI,26,36,12,24,13.6,104.7,1.8,13.8,20.9,0.7,27.7,0.2,11.1,4.6,3,3.6,13.4,0.056
133,Kawhi Leonard,LAC,29,57,41,16,32.4,104.7,6.1,17.5,24.4,1.8,36.3,0.6,18.5,10,7.4,9,27.8,0.132
134,Willy Hernangomez,CHA,26,31,7,24,12.1,104.8,2.9,24.3,35.8,0.3,18.5,0.2,25.9,5.1,2.5,3.2,11.7,0.051
135,John Konchar,MEM,24,19,9,10,9.5,104.8,1.5,15.2,24.2,0.4,17.5,0.2,13.6,3,2.6,2.8,7.3,0.038
136,Timothe Luwawu-Cabarrot,BKN,25,47,20,27,18.1,104.8,2.1,9.9,14.7,0.4,15,0.1,9.7,6.6,5.5,4.1,15.7,0.077
137,Dragan Bender,GSW,22,16,10,6,17.8,104.8,3.6,18.3,25.4,0.3,11.4,0.6,32.1,7.4,4.8,6,16.1,0.076
138,Patrick Patterson,LAC,31,59,39,20,13.2,104.9,2,13.6,19.3,0.1,6.4,0.1,5.3,4.8,2.9,3.5,12.9,0.055
139,BJ Johnson,ORL,24,10,5,5,8.3,104.9,1.2,13.6,20,0.3,13.6,0,0,3,1.8,2.2,8.8,0.036
140,Yogi Ferrell,SAC,27,50,20,30,10.6,104.9,0.9,8.5,12.7,0.4,22.2,0.1,9.1,3.3,2.3,2,9.2,0.044
141,Matthew Dellavedova,CLE,29,57,17,40,14.4,105,1,6.7,9.3,0.4,16.3,0,3.2,5.4,3.4,3.2,13.6,0.06
142,De'Anthony Melton,MEM,22,60,27,33,19.5,105,3,13.7,20.1,1.3,35.3,0.3,14.2,7,5.2,5.2,17.7,0.081
143,Gabe Vincent,MIA,24,9,5,4,9.2,105.1,0.6,5.3,7.2,0.6,26.3,0,0,4,2.3,1.7,5.3,0.039
144,Dzanan Musa,BKN,21,40,20,20,12.2,105.1,1.6,11.7,17.8,0.4,21.1,0,2,5,3.6,4,10.7,0.051
145,Abdel Nader,OKC,26,55,37,18,15.8,105.2,1.6,9.5,14.2,0.4,17.7,0.4,19.6,5.5,3.8,3.6,15.8,0.065
146,Kyle Kuzma,LAL,24,61,46,15,25,105.2,3.6,13.5,20.1,0.5,10.6,0.4,12.4,8.4,6.2,7.6,24.2,0.102
147,Brad Wanamaker,BOS,30,71,48,23,19.3,105.2,1.7,8.2,12.2,0.9,27,0.2,8.8,6.3,5.4,5.3,17.9,0.078
148,Wendell Carter Jr.,CHI,21,43,15,28,29.2,105.3,6.2,21.6,30.6,0.8,12.9,0.8,39.1,11.5,7.3,8,28.1,0.117
149,Ersan Ilyasova,MIL,33,63,48,15,15.7,105.3,3.8,21.2,29.3,0.4,15.7,0.3,15.6,5.1,3.6,4.8,12.7,0.064
150,Nerlens Noel,OKC,26,61,38,23,18.5,105.3,3.4,17.4,26.9,1,29.6,1.5,63.6,6.3,5.4,4.8,18.1,0.074
151,Matisse Thybulle,PHI,23,65,40,25,19.8,105.3,1,4.9,6.9,1.4,36.6,0.7,30.1,7.1,4.6,5.8,20.2,0.081
152,Gordon Hayward,BOS,30,52,34,18,33.5,105.4,5.6,15.9,23.1,0.7,12.5,0.4,11.1,10.1,9.8,9,31,0.135
153,Ryan Arcidiacono,CHI,26,58,21,37,16,105.4,1.6,9.8,14.8,0.5,14,0.1,3.8,4.9,4,3.8,15.3,0.065
154,Johnathan Motley,LAC,25,13,8,5,3.2,105.4,0.5,18.9,26.9,0.2,33.3,0,0,1,0.8,0.5,3.4,0.013
155,Serge Ibaka,TOR,30,55,40,15,27,105.5,6.1,20.5,30.6,0.5,10.4,0.8,32.4,9.2,7.9,7.3,23.8,0.107
156,Wayne Ellington,NYK,32,36,9,27,15.5,105.5,1.7,10.4,15.3,0.4,16.7,0.1,5.7,6.1,4.2,3.7,13.9,0.061
157,DeMarre Carroll,HOU,33,24,10,14,12.1,105.5,1.8,13.8,20.2,0.3,15.7,0.2,16.7,5.6,3.3,3.2,11.1,0.048
158,Doug McDermott,IND,28,69,43,26,19.9,105.5,2.1,9.8,15.3,0.2,6,0.1,4.1,5.9,6.4,5.4,19.7,0.08
159,Patrick McCaw,TOR,24,37,27,10,24.5,105.5,1.8,6.8,10,1.1,24.4,0.1,4.8,10,7.2,6.9,22.5,0.097
160,Jalen Brunson,DAL,23,57,34,23,17.9,105.6,2,10,14.6,0.4,17.7,0.1,3.9,5.1,4.8,6.3,17.7,0.07
161,Jevon Carter,PHX,24,58,29,29,16.3,105.6,1.5,9,13.7,0.8,27.5,0.3,21.5,5.6,4.4,3.8,16.3,0.065
162,Joe Ingles,UTA,32,72,44,28,29.7,105.6,3.5,11.2,15.9,0.9,22.3,0.2,5.6,10.3,7.6,7.3,29.4,0.116
163,JaVale McGee,LAL,32,68,51,17,16.6,105.7,3.9,21.8,31.3,0.5,16.9,1.4,50,6.3,4.4,6.2,16.5,0.065
164,JaMychal Green,LAC,30,63,43,20,20.7,105.7,4.9,20.9,30.2,0.5,16.5,0.4,19.5,7,5.6,5.4,19.9,0.082
165,Mike Muscala,OKC,28,47,26,21,12.2,105.7,2,15.6,21.6,0.2,10.7,0.3,22.6,3.6,3.1,2.5,12.4,0.049
166,Jonathan Isaac,ORL,22,34,15,19,28.8,105.7,5.1,17.7,25.1,1.6,28.5,2.3,58.6,8.1,6.9,7.1,26.3,0.112
167,Malcolm Brogdon,IND,27,54,34,20,30.9,105.7,4,12.4,18.2,0.6,14,0.2,5.5,9.9,7.6,8.5,30.1,0.118
168,DeAndre Jordan,BKN,31,56,27,29,22,105.8,7.5,29.3,41.4,0.3,11.8,0.9,50,8.6,6.1,5.7,19.4,0.086
169,Kyle Anderson,MEM,26,67,32,35,19.8,105.8,3.4,15.1,21.9,0.8,25.7,0.6,23.9,7.4,5.5,5.6,18.2,0.077
170,Montrezl Harrell,LAC,26,63,44,19,27.8,105.8,4.5,14.1,21.1,0.6,16.5,1.1,39.8,9.7,7.7,7.7,26.4,0.109
171,Meyers Leonard,MIA,28,51,34,17,20.3,105.9,4.5,21.4,29.2,0.3,8.3,0.3,18.8,7.5,4.6,5.5,18.7,0.077
172,Reggie Jackson,LAC,30,31,16,15,24,105.9,2.4,9.4,14,0.4,14.8,0.2,8.2,6.1,6.3,4.5,23,0.088
173,Danny Green,LAL,33,68,51,17,24.8,106,2.6,10,14.1,1.3,25.8,0.5,13.1,9.6,6.2,9.8,23.9,0.095
174,Jerome Robinson,WAS,23,63,36,27,15.5,106,1.8,11,16.3,0.4,18.1,0.3,19.1,5.2,4.2,4.6,16.2,0.061
175,Josh Richardson,PHI,26,55,33,22,30.8,106,2.4,7.5,10.9,0.9,19.4,0.7,17.6,9.4,7.7,8,29.9,0.117
176,Semi Ojeleye,BOS,25,69,46,23,14.6,106.1,1.7,10.9,16.3,0.3,14.1,0.1,4.5,4.8,4.3,3.9,13.3,0.055
177,Victor Oladipo,IND,28,19,11,8,27.8,106.1,3.5,11.6,17.1,0.9,18.7,0.2,7.1,10.2,6.9,9.4,25.8,0.106
178,Vincent Poirier,BOS,26,22,18,4,5.9,106.1,1.4,19.5,29.7,0.1,11.1,0.4,45,2.6,1.7,2.1,4.9,0.024
179,Iman Shumpert,BKN,30,13,9,4,18.5,106.2,1.9,9.2,14.7,0.9,37.5,0.2,8.7,8.6,6.6,6,14,0.068
180,Josh Jackson,MEM,23,22,10,12,17.3,106.2,2.5,12.8,19.1,0.8,24,0.4,19.6,5.5,4.3,5.2,15.5,0.066
181,Duncan Robinson,MIA,26,73,44,29,29.7,106.2,3,9.9,13.8,0.5,11.1,0.3,9.3,10.7,6.8,7.2,26.3,0.11
182,Javonte Green,BOS,26,48,33,15,9.7,106.2,1.4,13.4,19.5,0.5,28.6,0.2,12.7,4,2.2,2.6,9.3,0.038
183,Paul George,LAC,30,48,34,14,29.6,106.3,5.2,16.1,23.1,1.4,29.1,0.4,13.5,9.8,7.1,8.7,26.2,0.109
184,Dwight Howard,LAL,34,69,52,17,18.9,106.4,4.9,25.7,36.1,0.4,14.4,1.1,52.3,6.8,4.6,6.1,17,0.068
