,Name,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT",DEF WS
86,Ricky Rubio,UTA,27,77,44,33,29.3,101.2,4,13.9,19.5,1.6,27.8,0.1,5.1,10,6.7,5.7,25.5,0.136
87,Andre Iguodala,GSW,34,64,46,18,25.4,101.3,3.1,10.9,16.4,0.8,20.8,0.6,14.7,10,7.1,6.5,24.4,0.117
88,Jaylen Brown,BOS,21,70,47,23,30.7,101.3,4,12.4,17.7,1,20.6,0.4,12.3,9.5,6.9,6,27.3,0.142
89,Damyean Dotson,NYK,24,44,11,33,10.8,101.4,1.7,14.2,21.6,0.3,17.4,0,3.9,3.8,3.6,2.4,9.2,0.05
90,Donovan Mitchell,UTA,21,79,46,33,33.4,101.5,3.1,9.3,12.9,1.5,24.1,0.3,9.5,11.7,7.6,6.9,29.2,0.153
91,Pau Gasol,SAS,37,77,45,32,23.5,101.6,6.4,25.6,36.3,0.3,8.9,1,38.2,7.3,6,6.4,21.3,0.107
92,Al Horford,BOS,32,72,47,25,31.6,101.6,5.9,17.8,25.2,0.6,12.8,1.1,35.9,10,7.2,6.8,28,0.142
93,Terry Rozier,BOS,24,80,54,26,25.9,101.6,3.9,14.4,21,1,25.5,0.2,10.5,8,6.1,5.5,23.2,0.116
94,Alec Peters,PHX,23,20,2,18,11.2,101.7,1.5,12,16.2,0.1,6.1,0.1,8.3,2.8,2.8,2.8,9.8,0.051
95,Luc Mbah a Moute,HOU,31,61,52,9,25.6,101.7,2.7,10.2,14.2,1.2,24.5,0.4,16,7.9,6.3,5.6,24.2,0.115
96,David West,GSW,37,73,52,21,13.7,101.7,2.4,16.3,24.2,0.6,27,1,44.4,5,4.1,3.4,13,0.059
97,Daniel Hamilton,OKC,22,6,5,1,4.6,101.8,0.8,16.7,27.8,0.2,20,0,0,1,1.3,0.7,5,0.02
97,Jonathan Isaac,ORL,20,27,11,16,19.8,101.8,3.1,14.1,21.1,1.2,35.9,1.1,44.1,7.6,5.6,5.5,18.4,0.089
97,Shaquille Harrison,PHX,24,23,3,20,16.7,101.8,2.3,13,18.3,1.1,33.3,0.3,20,6.6,4.2,3.9,14.3,0.077
100,CJ Miles,TOR,31,70,50,20,19.1,101.8,1.9,9.7,15.1,0.5,16.2,0.3,11.2,5.4,5.7,4.2,17.9,0.085
101,Guerschon Yabusele,BOS,22,33,24,9,7.1,101.8,1.1,15.2,20.5,0.1,10,0.2,26.3,2.3,1.6,1.7,6.5,0.033
102,Travis Wear,LAL,27,17,7,10,13.4,101.9,2.2,16.3,22.1,0.2,13.3,0.3,22.7,4.5,2.9,3,12.4,0.059
103,Milton Doyle,BKN,24,10,2,8,12.5,101.9,1.5,12.5,17.2,0.6,25,0.2,18.2,4.7,3.5,3.6,14,0.056
104,Daniel Theis,BOS,26,63,44,19,14.9,101.9,2.9,18.9,27.8,0.5,22.2,0.8,47.1,4.9,3.4,3.3,12.6,0.066
105,Kyle Anderson,SAS,24,74,41,33,26.7,102,4.2,15.8,22.4,1.6,33.7,0.8,23.1,8.6,6.6,7.2,25.2,0.118
106,Jabari Bird,BOS,23,13,8,5,8.8,102.1,1,10.5,14,0.2,18.8,0.1,12.5,3.5,1.8,2,8.9,0.04
107,Shaun Livingston,GSW,32,71,49,22,15.9,102.2,1.4,8,12.1,0.5,18.5,0.3,10.2,6,4.6,4.3,14.6,0.069
108,Malcolm Miller,TOR,25,15,15,0,8.4,102.3,0.7,9,11.8,0.1,4.8,0.1,14.3,3.7,1.8,3.1,7.7,0.036
109,Pascal Siakam,TOR,24,81,59,22,20.7,102.3,3.5,16.8,25.2,0.8,20.5,0.5,19.2,6.3,5.3,4.2,18.8,0.089
110,JJ Redick,PHI,34,70,45,25,30.2,102.4,2.4,7.1,10.3,0.5,9.8,0.1,2.6,11.7,7.7,6.1,25.6,0.132
111,Joe Ingles,UTA,30,82,48,34,31.4,102.4,3.9,12.5,17.6,1.1,19.5,0.2,7.5,10.9,7,6.7,27.5,0.135
112,Sam Dekker,LAC,24,73,36,37,12.1,102.5,1.8,13.6,20.9,0.3,16.3,0.1,10.1,4.2,3.1,4.3,11.4,0.053
113,Ryan Arcidiacono,CHI,24,24,6,18,12.7,102.5,1,7.7,10.6,0.5,23.2,0,0,4.5,2.5,2.6,10.9,0.055
114,Bam Adebayo,MIA,20,69,34,35,19.8,102.6,3.8,19.4,27,0.5,15.9,0.6,26.8,6.9,4.6,4.4,17.7,0.083
115,Derrick Favors,UTA,26,77,46,31,28,102.6,4.6,16.7,23,0.7,14.8,1.1,38.5,9.8,6,5.9,24.9,0.118
116,Danny Green,SAS,31,70,40,30,25.6,102.7,3,11.5,16.1,0.9,21.7,1.1,33.6,7.6,5.8,6.5,22.8,0.107
117,Delon Wright,TOR,26,69,49,20,20.8,102.7,2.2,10.7,15.9,1,27.7,0.5,16.3,6.5,6,4.7,19.2,0.086
118,Gerald Green,HOU,32,41,33,8,22.7,102.7,2.9,12.4,17.3,0.6,16.6,0.4,15.8,6.4,6.3,5.3,22.6,0.095
119,Emeka Okafor,NOP,35,26,16,10,13.6,102.7,2.8,17.5,26.4,0.3,13.6,1,39.1,5,4.3,4.9,14.5,0.058
120,Timothe Luwawu-Cabarrot,PHI,23,52,29,23,15.5,102.7,1.1,6.4,9.3,0.2,11.1,0.1,6,6.4,3.9,4.2,13.5,0.066
121,Cole Aldrich,MIN,29,21,14,7,2.3,102.7,0.6,28.6,40,0.1,14.3,0,25,0.9,1.3,0.4,1.7,0.011
122,Dorian Finney-Smith,DAL,25,21,4,17,21.3,102.7,2.5,12.1,16.9,0.5,15.2,0.2,12.5,5,4.4,6.7,19,0.089
123,Bryn Forbes,SAS,24,80,46,34,19,102.8,1.2,6.5,9.4,0.4,12.2,0,1.3,5.9,5,4.5,17.7,0.079
124,Justise Winslow,MIA,22,68,33,35,24.7,102.9,4.5,17.8,25.2,0.8,20.8,0.5,18.2,7.8,5.5,5.8,21.1,0.103
125,Ben Simmons,PHI,21,81,51,30,33.7,102.9,6.3,17.1,24.8,1.7,28.9,0.9,24.1,12.8,8.7,6.9,29,0.139
126,OG Anunoby,TOR,20,74,51,23,20,103,1.9,9,12.6,0.7,24,0.2,7.5,6.5,5.2,5.6,20.3,0.083
127,Tyler Ennis,LAL,23,54,22,32,12.7,103,1.4,10.1,14.6,0.6,32.3,0.2,16.1,4.6,3.5,2.9,12.3,0.052
128,Dario Saric,PHI,24,78,49,29,29.6,103,4.7,14.7,21,0.7,13.1,0.3,8.8,11.2,7.1,6.3,25.4,0.12
129,Willy Hernangomez,CHA,24,48,20,28,10.3,103.1,2.5,24.8,34.4,0.4,23.7,0.3,39,3.8,2.6,2.4,9,0.043
130,Iman Shumpert,SAC,28,14,9,5,19.7,103.1,2.4,11.3,17,0.6,23.1,0.3,16.7,7,6.1,3.9,17.7,0.084
131,Jusuf Nurkic,POR,23,79,48,31,26.4,103.1,6.6,23.7,33.5,0.8,19.3,1.4,42,8.2,6.6,6.4,23.7,0.108
132,Salah Mejri,DAL,32,61,21,40,11.9,103.1,2.6,21.6,31.2,0.4,21.2,1.1,68.4,3,3.5,3,9.4,0.048
133,Josh Huestis,OKC,26,69,43,26,14.2,103.2,1.7,11.7,17.6,0.2,10,0.6,31.4,4,3.8,3.1,12.1,0.057
134,Yogi Ferrell,DAL,25,82,24,58,27.8,103.2,2.7,9.7,14.1,0.8,19.1,0.1,4.7,7.6,6.5,7.5,23.2,0.113
135,Luke Kennard,DET,22,73,34,39,20,103.2,2.1,10.4,14.9,0.6,20.2,0.2,9.6,6.2,4.5,3.4,17.7,0.08
136,Derrick Jones Jr.,MIA,21,20,9,11,12.3,103.2,0.9,6.6,8.9,0.2,15.4,0.7,37.1,4.3,2.6,2.3,11,0.05
137,LaMarcus Aldridge,SAS,32,75,45,30,33.4,103.3,5.2,15.6,21.7,0.6,11.1,1.2,28.4,9.6,8.1,8.4,29,0.131
138,Chris Paul,HOU,33,58,50,8,31.8,103.3,4.8,15.1,21.5,1.7,27.7,0.2,7.9,8.8,8,7.5,30.8,0.127
139,Marreese Speights,ORL,30,52,15,37,13,103.4,2.2,15.2,24,0.2,12.5,0.4,40.7,4.3,3.7,3.5,11.5,0.052
140,Omri Casspi,GSW,30,53,40,13,14,103.4,3.2,20.5,30.7,0.3,14.4,0.4,15.7,5.4,4.3,4.4,14.3,0.056
141,Danuel House Jr.,PHX,25,23,6,17,17.5,103.4,2.7,14,20.5,0.3,13,0.3,23.1,5.8,4.9,4.4,13.9,0.069
142,P.J. Tucker,HOU,33,82,65,17,27.8,103.4,4.4,16,22.8,1,18.4,0.3,11.5,9.4,7,7,26.7,0.11
143,Pat Connaughton,POR,25,82,49,33,18.1,103.5,1.5,8,11.3,0.3,12.4,0.3,16.7,5.4,4.4,3.9,14.8,0.072
144,Eric Gordon,HOU,29,69,55,14,31.2,103.5,2.1,6.5,9.2,0.6,12.1,0.4,12.3,10.3,8.2,7.2,31.5,0.125
145,Boban Marjanovic,LAC,29,39,18,21,8.7,103.5,2.5,27.4,37.8,0.3,19.2,0.3,44,3.4,1.7,2,6.2,0.035
146,Josh Magette,ATL,28,18,3,15,12,103.6,0.9,7.9,10.8,0.4,28.6,0.1,11.1,3.5,2.4,2.3,12,0.047
147,Damien Wilkins,IND,38,19,10,9,8,103.6,0.6,7.2,10.8,0.1,9.5,0.1,10,1.7,1.9,1.8,8.4,0.031
148,Semi Ojeleye,BOS,23,73,50,23,15.8,103.6,1.7,10.6,15.3,0.3,11.9,0.1,4.3,5.4,3.6,2.9,15.1,0.063
149,Shabazz Napier,POR,26,74,46,28,20.7,103.6,1.9,9,13,1.1,37,0.2,9.1,6.3,5.2,4.3,18.1,0.081
150,Jakob Poeltl,TOR,22,82,59,23,18.6,103.7,2.8,15,22.5,0.5,14.8,1.2,52.9,5.7,5,4,17.2,0.072
151,Tony Allen,NOP,36,22,12,10,12.4,103.7,1.2,9.1,13.5,0.5,22.9,0.1,13.6,4.5,3.8,2.1,10.8,0.05
152,Channing Frye,LAL,35,53,28,25,13.1,103.7,2.3,16.4,24.5,0.3,20.5,0.2,23.2,4.4,3.3,2.3,11.8,0.05
153,Larry Nance Jr.,CLE,25,66,32,34,21.5,103.9,4.4,19.9,29.7,1.3,30,0.6,28.6,7.3,6.2,4.8,21.5,0.084
154,Ed Davis,POR,29,78,48,30,18.9,103.9,5,25.4,36.4,0.4,17.3,0.7,37.1,5.4,4.6,3.8,15.8,0.071
155,Glenn Robinson III,IND,24,23,14,9,14.7,103.9,1.1,7.8,10.9,0.6,25,0,6.3,4.1,3.5,4.1,12.5,0.057
156,Ron Baker,NYK,25,29,12,17,13.3,103.9,0.9,6.4,10,0.9,41.9,0.2,14.6,4.6,3.8,2.1,11.7,0.051
157,Rudy Gay,SAS,31,57,36,21,21.6,103.9,3.8,17.5,25.1,0.8,25.3,0.7,30.9,6.9,5.3,5.6,19.7,0.083
158,Isaiah Taylor,ATL,23,67,18,49,17.4,103.9,1.1,5.8,8.4,0.5,18.4,0.1,10.6,6.1,4.5,4.1,15.1,0.068
159,Victor Oladipo,IND,26,75,48,27,34,104,4.6,13.2,19.5,2.4,33.8,0.8,24.7,10.5,9.4,8.5,30.2,0.13
160,Khem Birch,ORL,25,42,14,28,13.8,104,2.6,19.1,27.9,0.4,15.5,0.5,37.5,4.1,2.6,3.3,12,0.051
161,Jawun Evans,LAC,21,48,24,24,16.2,104.1,1.6,9.2,14.5,0.8,24.8,0.1,7,5.8,4.6,5.1,14,0.063
162,Jonas Jerebko,UTA,31,74,45,29,15.3,104.2,2.6,17.5,24.4,0.3,12.3,0.2,12.4,5.1,3.4,2.6,13.6,0.057
163,Josh Richardson,MIA,24,81,44,37,33.2,104.2,2.7,8,11.5,1.5,28,0.9,24.1,10.6,8.2,7.6,29.5,0.124
164,Danilo Gallinari,LAC,29,21,11,10,32,104.2,4.4,13.3,18.9,0.6,12.7,0.5,16.4,9.5,7,9.1,28.4,0.116
165,Jordan Bell,GSW,23,57,43,14,14.2,104.3,2.6,16.2,24.3,0.6,24.8,1,36.8,5.1,4.3,4.1,13.6,0.053
166,Anthony Davis,NOP,25,75,45,30,36.4,104.3,8.6,21.3,31.6,1.5,24.3,2.6,53.5,12.2,10.6,10.9,34.8,0.135
167,Johnathan Motley,DAL,23,11,1,10,16,104.3,3.2,20,28.9,0.3,18.8,0.2,20,5.1,4,4.5,15.1,0.058
168,Nik Stauskas,BKN,24,41,14,27,12.8,104.3,1.5,10.7,15.9,0.2,12.7,0.1,9.1,4.5,3.7,2.6,12.7,0.047
169,Damion Lee,ATL,25,15,4,11,27,104.3,4,13.8,18.3,1.3,31.1,0.1,3.3,10.1,5.3,8,23.7,0.102
170,Kyrie Irving,BOS,26,60,41,19,32.2,104.3,3.2,9.6,13.9,1.1,23.2,0.3,8.6,10.4,7.6,7.2,29.5,0.119
171,T.J. McConnell,PHI,26,76,50,26,22.5,104.4,2.5,10,15,1.2,32.9,0.2,6.8,9.6,6.4,5,20.1,0.083
172,Al-Farouq Aminu,POR,27,69,40,29,30,104.4,6.2,19.8,28.1,1.1,23.4,0.6,15.7,9,7.6,7.5,26.9,0.111
173,Jamel Artis,ORL,25,15,4,11,18.6,104.4,2.3,11.9,17.1,0.1,5.7,0.2,10,5.5,4.2,4.9,16.1,0.067
174,Dwight Powell,DAL,26,79,23,56,21.2,104.5,3.9,19,27.2,0.8,25.7,0.4,33,6.3,4.8,6.2,17.9,0.078
175,Jrue Holiday,NOP,28,81,47,34,36.1,104.5,3.7,9.5,13.9,1.5,24.8,0.8,16.9,12.4,10.2,10.4,34.3,0.131
176,Tyler Johnson,MIA,26,72,39,33,28.5,104.5,3,10.5,15,0.8,17.9,0.5,16.3,9.1,6.7,6.6,26.3,0.104
177,Damian Lillard,POR,27,73,44,29,36.6,104.5,3.6,9.4,13.3,1.1,19.2,0.4,8.9,11.3,8.9,8.7,32.7,0.133
178,Kyle Korver,CLE,37,73,43,30,21.6,104.5,2.1,9.3,13.7,0.4,13.2,0.4,18.4,6.7,5.8,4.4,19.6,0.079
179,Kevon Looney,GSW,22,66,45,21,13.8,104.6,2,13.5,19.9,0.5,25.8,0.8,41.2,4.8,3.3,4.2,13,0.05
180,Frank Ntilikina,NYK,19,78,28,50,21.9,104.6,1.8,7.9,11.7,0.8,25.6,0.2,9.4,7.9,5.8,4.3,18.6,0.079
181,Wayne Ellington,MIA,30,77,42,35,26.5,104.6,2.5,9.4,13.5,0.7,17.7,0.1,3.5,8.3,6.4,5.4,23,0.094
182,Noah Vonleh,CHI,22,54,24,30,16.2,104.6,4.5,26.5,36.7,0.4,14.7,0.3,23.3,5.7,4,3.1,13.7,0.058
183,Kelly Olynyk,MIA,27,76,42,34,23.4,104.6,4.5,20,28.5,0.8,20.7,0.5,20.8,7.1,5.4,4.9,21,0.083
184,Raymond Felton,OKC,34,82,48,34,16.6,104.7,1.6,9.7,15,0.6,20.9,0.2,10.7,4.5,5,3,14.7,0.058
185,Dwayne Bacon,CHA,22,53,25,28,13.5,104.7,2.3,15.8,21.4,0.3,16.3,0,4,3.8,3.2,3,12.5,0.049
186,Jerami Grant,OKC,24,81,48,33,20.3,104.7,2.9,14,21.3,0.4,11.1,1,37,6.1,6.2,4.3,17.9,0.073
187,Cody Zeller,CHA,25,33,14,19,19,104.7,3.3,18.4,24.8,0.4,14.3,0.6,46.7,5.5,2.8,3.4,17.3,0.068
