,CoachID,Name,NFL Coach Experience (thru 2023),College/Other Exp (thru 2023),Date of Birth,NFL Playing Exp,"Highest Pos NFL (1=HC, 2=Coord, 3=ST, Pos or Lower)",Highest Pos College / other Pro,# seasons as NFL Coordinator,Off/Def side of ball,1st Season as NFL HC,W,L,%,P_W,P_L,P_%,URL
15,791423.0,"Petry, Kevin",7.0,0.0,9/30/1991 0:00:00,0.0,3.0,,0.0,OFF,,88.0,59.0,0.599,3.0,4.0,0.429,https://pro-football-history.com/coach/11188/kevin-petry-bio
16,797872.0,"Burns, Kodi",2.0,10.0,12/24/1988 0:00:00,0.0,3.0,OC,0.0,OFF,,16.0,18.0,0.471,0.0,0.0,0.0,https://pro-football-history.com/coach/13903/kodi-burns-bio
17,141899.0,"Meyer, Urban",2.0,33.0,7/10/1964 0:00:00,0.0,1.0,HC,0.0,Off,2021.0,2.0,11.0,0.154,0.0,0.0,0.0,https://pro-football-history.com/coach/13661/urban-meyer-bio
18,939507.0,"Holmes, Jerry",5.0,7.0,12/22/1957 0:00:00,10.0,3.0,DC,0.0,Def,,25.0,55.0,0.312,0.0,0.0,0.0,https://pro-football-history.com/coach/11760/jerry-holmes-bio
19,189208.0,"Hayes-Stoker, Andrew",13.0,5.0,8/15/1977 0:00:00,0.0,3.0,WR,0.0,Off,,108.0,87.0,0.554,9.0,5.0,0.643,https://pro-football-history.com/coach/2157/andrew-hayesstoker-bio
20,625681.0,"DeHaven, Bruce",31.0,7.0,9/6/1948 0:00:00,0.0,3.0,ST,0.0,ST,,268.0,210.0,0.56,16.0,18.0,0.471,https://pro-football-history.com/coach/815/bruce-dehaven-bio
21,682084.0,"Eatman, Irv",9.0,0.0,1/1/1961 0:00:00,12.0,3.0,,0.0,Off,,63.0,65.0,0.492,0.0,1.0,0.0,https://pro-football-history.com/coach/1080/irv-eatman-bio
22,817904.0,"Munchak, Mike",28.0,0.0,3/5/1960 0:00:00,13.0,1.0,,0.0,Off,2011.0,238.0,210.0,0.531,8.0,10.0,0.444,https://pro-football-history.com/coach/287/mike-munchak-bio
23,259131.0,"Shumpert, Don",5.0,2.0,1/8/1992 0:00:00,1.0,3.0,GA,0.0,Off,,33.0,48.0,0.409,0.0,1.0,0.0,https://pro-football-history.com/coach/12714/don-shumpert-bio
24,564037.0,"Kaiser, Tommy",3.0,14.0,4/9/1952 0:00:00,0.0,3.0,AH,0.0,Off,,17.0,31.0,0.354,0.0,0.0,0.0,https://pro-football-history.com/coach/2585/tommy-kaiser-bio
25,288192.0,"Cullen, Joe",17.0,17.0,12/15/1967 0:00:00,0.0,2.0,DC,1.0,Def,,117.0,158.0,0.425,8.0,3.0,0.727,https://pro-football-history.com/coach/908/joe-cullen-bio
26,563488.0,"Strong, Charlie",1.0,40.0,8/2/1960 0:00:00,0.0,3.0,HC,0.0,Def,,3.0,14.0,0.176,0.0,0.0,0.0,https://pro-football-history.com/coach/13662/charlie-strong-bio
27,302580.0,Dan Riley,26.0,0.0,,0.0,3.0,,0.0,Strength,,210.0,197.0,0.516,17.0,6.0,0.739,https://pro-football-history.com/coach/2002/dan-riley-bio
28,653653.0,"Schneider, Brian",16.0,13.0,5/16/1971 0:00:00,0.0,3.0,ST,0.0,ST,,146.0,95.0,0.605,14.0,10.0,0.583,https://pro-football-history.com/coach/1794/brian-schneider-bio
29,264570.0,"Brown, Troy",5.0,0.0,7/2/1971 0:00:00,15.0,3.0,,0.0,Off,,41.0,42.0,0.494,0.0,2.0,0.0,https://pro-football-history.com/coach/13633/troy-brown-bio
30,249533.0,"Bentley, V'Angelo",2.0,4.0,11/4/1993 0:00:00,3.0,3.0,CB,0.0,Def,,12.0,22.0,0.353,0.0,0.0,0.0,https://pro-football-history.com/coach/13971/vangelo-bentley-bio
31,105772.0,"Mann, Richard",32.0,11.0,4/20/1947 0:00:00,0.0,3.0,WR,0.0,Off,,,,,,,,
32,396117.0,"Vinklarek, Ronnie",3.0,4.0,3/28/1961 0:00:00,0.0,3.0,OL,0.0,Off,,24.0,24.0,0.5,0.0,1.0,0.0,https://pro-football-history.com/coach/2598/ronnie-vinklarek-bio
33,566193.0,"Duffner, Mark",27.0,22.0,7/9/1953 0:00:00,0.0,2.0,HC,4.0,Def,,170.0,263.0,0.393,7.0,5.0,0.583,https://pro-football-history.com/coach/626/mark-duffner-bio
34,596711.0,"Phillips, Mel",28.0,0.0,1/6/1942 0:00:00,12.0,3.0,,0.0,Def,,232.0,207.0,0.528,7.0,12.0,0.368,https://pro-football-history.com/coach/1276/mel-phillips-bio
35,610308.0,"Johnson, Brian",3.0,11.0,2/16/1987 0:00:00,0.0,2.0,OC,1.0,Off,,34.0,17.0,0.667,2.0,3.0,0.4,https://pro-football-history.com/coach/13680/brian-johnson-bio
36,843057.0,"Falks, Frank",10.0,23.0,3/9/1943 0:00:00,0.0,3.0,AH/RB,0.0,Off,,90.0,86.0,0.511,3.0,6.0,0.333,https://pro-football-history.com/coach/2601/frank-falks-bio
37,383452.0,"Rychleski, Ray",3.0,36.0,9/27/1957 0:00:00,0.0,3.0,DC,0.0,Def,,26.0,22.0,0.542,2.0,2.0,0.5,https://pro-football-history.com/coach/2657/ray-rychleski-bio
38,361453.0,"Carmichael Jr., Pete",24.0,6.0,10/6/1971 0:00:00,0.0,3.0,HC,0.0,Off,,219.0,168.0,0.566,9.0,9.0,0.5,https://pro-football-history.com/coach/2339/pete-carmichael-jr-bio
39,416563.0,"Zook, Ron",11.0,21.0,4/28/1954 0:00:00,0.0,2.0,HC,2.0,Def,,99.0,76.0,0.565,7.0,6.0,0.538,https://pro-football-history.com/coach/538/ron-zook-bio
40,770658.0,"Greenberg, William",7.0,8.0,,0.0,3.0,ST,0.0,ST,,,,,,,,
41,143282.0,"Davis, Austin",3.0,2.0,6/2/1989 0:00:00,7.0,3.0,QB,0.0,Off,,30.0,19.0,0.612,1.0,2.0,0.333,https://pro-football-history.com/coach/12882/austin-davis-bio
42,126392.0,"Suddes, Patrick",2.0,18.0,,0.0,3.0,GM,0.0,ST,,,,,,,,
43,791514.0,"Blackburn, Chase",8.0,0.0,5/10/1983 0:00:00,10.0,3.0,,5.0,ST,,56.0,75.0,0.427,0.0,2.0,0.0,https://pro-football-history.com/coach/11238/chase-blackburn-bio
44,734905.0,"Carroll, Brennan",9.0,12.0,3/20/1979 0:00:00,0.0,3.0,OC,0.0,Off,,62.0,33.0,0.651,3.0,5.0,0.375,https://pro-football-history.com/coach/2400/brennan-carroll-bio
45,153078.0,"Pelini, Mark ""Bo""",9.0,20.0,12/13/1967 0:00:00,0.0,3.0,DC,0.0,Def,,96.0,48.0,0.667,6.0,6.0,0.5,https://pro-football-history.com/coach/1065/mark-bo-pelini-bio
46,430553.0,"Jeffcoat, Jim",7.0,0.0,4/1/1961 0:00:00,16.0,3.0,,0.0,Def,,49.0,63.0,0.438,0.0,3.0,0.0,https://pro-football-history.com/coach/1983/jim-jeffcoat-bio
47,348575.0,"Lewis, Tim",21.0,8.0,12/18/1961 0:00:00,4.0,2.0,DB,7.0,Def,,183.0,152.0,0.546,7.0,11.0,0.389,https://pro-football-history.com/coach/1178/tim-lewis-bio
48,968799.0,"Tatekawa, Steven",,,,,,,,,,,,,,,,
49,631059.0,"Curtis, Andre",18.0,6.0,12/8/1976 0:00:00,0.0,3.0,LB,0.0,Def,,144.0,146.0,0.497,8.0,8.0,0.5,https://pro-football-history.com/coach/2406/andre-curtis-bio
50,923642.0,"Valero, Art",9.0,21.0,5/12/1958 0:00:00,0.0,3.0,AH/OC,0.0,Off,,79.0,97.0,0.449,5.0,4.0,0.556,https://pro-football-history.com/coach/1802/art-valero-bio
51,225352.0,"Panagos, Jim",4.0,3.0,3/23/1971 0:00:00,0.0,3.0,AP,0.0,Def,,32.0,32.0,0.5,1.0,1.0,0.5,https://pro-football-history.com/coach/11845/jim-panagos-bio
52,549663.0,"Edwards, George",26.0,7.0,1/16/1967 0:00:00,0.0,2.0,LB,10.0,Def,,199.0,219.0,0.476,4.0,9.0,0.308,https://pro-football-history.com/coach/733/george-edwards-bio
53,753287.0,"Gill, Turner",0.0,31.0,8/14/1962 0:00:00,0.0,,HC,0.0,Off,,,,,,,,
54,248029.0,"Sefcik, George",29.0,2.0,12/27/1939 0:00:00,0.0,2.0,OC,6.0,Off,,180.0,247.0,0.422,6.0,5.0,0.545,https://pro-football-history.com/coach/656/george-sefcik-bio
55,405065.0,"Nixon, Jeff",14.0,9.0,10/16/1974 0:00:00,0.0,3.0,RB,0.0,Off,,98.0,128.0,0.434,2.0,3.0,0.4,https://pro-football-history.com/coach/837/jeff-nixon-bio
56,965206.0,"Dickenson, Craig",3.0,8.0,9/4/1971 0:00:00,0.0,3.0,RB,0.0,Off,,14.0,34.0,0.292,0.0,0.0,0.0,https://pro-football-history.com/coach/11988/craig-dickenson-bio
57,524160.0,"Martz, Tim",1.0,6.0,8/30/1981 0:00:00,0.0,3.0,AP,0.0,Off,,7.0,9.0,0.438,0.0,0.0,0.0,https://pro-football-history.com/coach/2669/tim-martz-bio
58,922924.0,"Hamilton, Shaun Dion",2.0,0.0,9/11/1995 0:00:00,4.0,3.0,,0.0,Def,,21.0,13.0,0.618,2.0,1.0,0.667,https://pro-football-history.com/coach/14027/shaun-dion-hamilton-bio
59,185802.0,"Bullough, Hank",21.0,0.0,1/24/1934 0:00:00,0.0,1.0,,16.0,Def,1978.0,127.0,144.0,0.469,2.0,4.0,0.333,https://pro-football-history.com/coach/46/hank-bullough-bio
60,260715.0,"Ginn, Brian",4.0,17.0,4/6/1977 0:00:00,0.0,3.0,OC,0.0,Off,,34.0,31.0,0.523,0.0,2.0,0.0,https://pro-football-history.com/coach/12383/brian-ginn-bio
61,308758.0,"Skipper, Jim",32.0,13.0,1/23/1949 0:00:00,0.0,2.0,HC,3.0,Off,,269.0,224.0,0.545,8.0,12.0,0.4,https://pro-football-history.com/coach/937/jim-skipper-bio
62,733503.0,"Hall, Galen",1.0,53.0,8/14/1940 0:00:00,2.0,3.0,HC,0.0,Off,,,,,,,,
63,856123.0,"Goethie, Lanier",3.0,4.0,9/29/1990 0:00:00,0.0,3.0,,,,,21.0,30.0,0.412,0.0,0.0,0.0,https://pro-football-history.com/coach/13764/lanier-goethie-bio
64,779251.0,"Moore, Sterling",2.0,3.0,2/3/1990 0:00:00,6.0,3.0,GA,0.0,Def,,16.0,18.0,0.471,0.0,0.0,0.0,https://pro-football-history.com/coach/13900/sterling-moore-bio
65,233424.0,"Rutenberg, Mike",11.0,7.0,10/29/1981 0:00:00,0.0,3.0,DB,0.0,Def,,81.0,146.0,0.357,3.0,2.0,0.6,https://pro-football-history.com/coach/2266/mike-rutenberg-bio
66,277327.0,"Smith, Chuck",3.0,0.0,12/21/1969 0:00:00,0.0,3.0,DL,0.0,Def,,34.0,15.0,0.694,3.0,3.0,0.5,https://pro-football-history.com/coach/14058/chuck-smith-bio
67,212803.0,"Casullo, Bob",9.0,15.0,3/24/1951 0:00:00,0.0,3.0,ST,0.0,ST,,77.0,51.0,0.602,7.0,6.0,0.538,https://pro-football-history.com/coach/1774/bob-casullo-bio
68,955763.0,"Bunting, John",9.0,11.0,7/15/1950 0:00:00,11.0,2.0,HC,2.0,Def,,,,,,,,
69,357492.0,"Lacy, Nick",3.0,6.0,,0.0,3.0,OL,0.0,ST,,35.0,15.0,0.7,3.0,3.0,0.5,https://pro-football-history.com/coach/13917/nick-lacy-bio
70,896632.0,"Rowe, James",5.0,8.0,2/11/1986 0:00:00,0.0,3.0,DC,0.0,,,29.0,53.0,0.354,0.0,0.0,0.0,https://pro-football-history.com/coach/11215/james-rowe-bio
71,208892.0,Brian Mason,1.0,13.0,10/12/1953 0:00:00,0.0,3.0,ST,1.0,ST,,9.0,8.0,0.529,0.0,0.0,0.0,https://pro-football-history.com/coach/14054/brian-mason-bio
72,280623.0,"Roman, Greg",25.0,2.0,8/19/1972 0:00:00,0.0,2.0,AH/OT,10.0,Off,,196.0,191.0,0.506,7.0,9.0,0.438,https://pro-football-history.com/coach/1195/greg-roman-bio
73,279149.0,"Withers, Everett",8.0,12.0,6/15/1963 0:00:00,0.0,3.0,DC,0.0,Def,,58.0,70.0,0.453,2.0,2.0,0.5,https://pro-football-history.com/coach/2891/everett-withers-bio
74,100005.0,"Logan, Steve",4.0,29.0,2/3/1953 0:00:00,0.0,3.0,HC,0.0,Off,,22.0,42.0,0.344,0.0,0.0,0.0,https://pro-football-history.com/coach/2041/steve-logan-bio
75,171381.0,"Mroz, Jamey",4.0,1.0,,0.0,3.0,Strength Coach,0.0,ST,,17.0,63.0,0.212,0.0,0.0,0.0,https://pro-football-history.com/coach/2774/jamey-mroz-bio
76,425989.0,"Gannon, Jonathan",13.0,4.0,1/4/1983 0:00:00,0.0,1.0,GA,2.0,Def,2023.0,121.0,138.0,0.467,4.0,6.0,0.4,https://pro-football-history.com/coach/926/jonathan-gannon-bio
77,246810.0,"Austin, Atif",1.0,20.0,1/1/1981 0:00:00,0.0,3.0,ST,0.0,,,11.0,5.0,0.688,3.0,0.0,1.0,https://pro-football-history.com/coach/12300/atif-austin-bio
78,636891.0,"Cook, Chris",3.0,7.0,,0.0,3.0,TE,0.0,Off,,11.0,23.0,0.324,0.0,0.0,0.0,https://pro-football-history.com/coach/13670/chris-cook-bio
79,367838.0,"Avery, Wendell",2.0,13.0,10/20/1956 0:00:00,0.0,3.0,HC,0.0,Off,,21.0,11.0,0.656,1.0,2.0,0.333,https://pro-football-history.com/coach/2131/wendell-avery-bio
80,986893.0,"Verduzco, Jason",6.0,0.0,4/3/1970 0:00:00,0.0,3.0,OC,0.0,Off,,52.0,44.0,0.542,0.0,1.0,0.0,https://pro-football-history.com/coach/2089/jason-verduzco-bio
81,749841.0,"Clausen, Chris",17.0,0.0,2/21/1958 0:00:00,0.0,3.0,,0.0,,,123.0,149.0,0.452,6.0,4.0,0.6,https://pro-football-history.com/coach/3031/chris-clausen-bio
82,878222.0,"Patterson, Andre",20.0,9.0,6/12/1960 0:00:00,0.0,2.0,HC,2.0,Def,,170.0,167.0,0.504,7.0,8.0,0.467,https://pro-football-history.com/coach/1666/andre-patterson-bio
83,320548.0,"Arnsparger, Bill",23.0,17.0,12/16/2026 0:00:00,0.0,1.0,HC,15.0,Def,1974.0,244.0,131.0,0.648,17.0,13.0,0.567,https://pro-football-history.com/coach/10/bill-arnsparger-bio
84,132708.0,"Roll, Brad",20.0,12.0,7/4/1958 0:00:00,0.0,3.0,,0.0,,,150.0,170.0,0.469,3.0,5.0,0.375,https://pro-football-history.com/coach/1279/brad-roll-bio
85,429252.0,"Bonamego, John",19.0,11.0,8/14/1963 0:00:00,0.0,3.0,ST,0.0,ST,,162.0,159.0,0.505,9.0,8.0,0.529,https://pro-football-history.com/coach/906/john-bonamego-bio
86,738000.0,"Lake, Carnell",7.0,3.0,7/15/1967 0:00:00,12.0,3.0,DC,0.0,Def,,94.0,50.0,0.653,7.0,6.0,0.538,https://pro-football-history.com/coach/882/carnell-lake-bio
87,342025.0,"Shewmaker, Isaac",3.0,5.0,,0.0,3.0,AP,0.0,Def,,27.0,24.0,0.529,0.0,1.0,0.0,https://pro-football-history.com/coach/13698/isaac-shewmaker-bio
88,544274.0,"Gibbs, Joe",24.0,2.0,11/25/1940 0:00:00,0.0,1.0,OL,3.0,Off,1981.0,224.0,141.0,0.613,18.0,11.0,0.621,https://pro-football-history.com/coach/144/joe-gibbs-bio
89,288972.0,"Reed, Mike",4.0,3.0,8/16/1972 0:00:00,1.0,3.0,WR/DB,0.0,Def,,53.0,27.0,0.662,5.0,4.0,0.556,https://pro-football-history.com/coach/2953/mike-reed-bio
90,510795.0,"Wylie, Bob",18.0,16.0,2/16/1951 0:00:00,0.0,3.0,OC,0.0,Off,,107.0,180.0,0.373,0.0,2.0,0.0,https://pro-football-history.com/coach/466/bob-wylie-bio
91,677571.0,"Rudd, Justin",4.0,5.0,,0.0,3.0,WR,0.0,Off,,42.0,25.0,0.627,1.0,3.0,0.25,https://pro-football-history.com/coach/13646/justin-rudd-bio
92,602473.0,"Danos, Joe",7.0,11.0,7/20/1975 0:00:00,0.0,3.0,Strength Coach,0.0,,,42.0,70.0,0.375,0.0,1.0,0.0,https://pro-football-history.com/coach/2291/joe-danos-bio
93,922032.0,"Engram, Bobby",10.0,3.0,1/7/1973 0:00:00,14.0,3.0,OC,0.0,Off,,92.0,70.0,0.568,3.0,5.0,0.375,https://pro-football-history.com/coach/1317/bobby-engram-bio
94,401435.0,"Peccatiello, Larry",29.0,1.0,12/21/1937 0:00:00,0.0,2.0,DC,25.0,Def,,225.0,219.0,0.507,16.0,7.0,0.696,https://pro-football-history.com/coach/625/larry-peccatiello-bio
95,983419.0,"Anderson, Richie",5.0,0.0,9/13/1973 0:00:00,12.0,3.0,,0.0,Off,,39.0,41.0,0.487,0.0,2.0,0.0,https://pro-football-history.com/coach/472/richie-anderson-bio
96,663733.0,"Carthon, Maurice",19.0,0.0,4/24/1961 0:00:00,8.0,2.0,,5.0,Off,,133.0,161.0,0.452,6.0,6.0,0.5,https://pro-football-history.com/coach/1632/maurice-carthon-bio
97,273094.0,"Scelfo, Frank",3.0,24.0,2/9/1959 0:00:00,0.0,3.0,HC,0.0,Off,,12.0,36.0,0.25,0.0,0.0,0.0,https://pro-football-history.com/coach/2252/frank-scelfo-bio
98,991129.0,"Sale, Robert",1.0,16.0,7/1/1979 0:00:00,0.0,3.0,OC,0.0,OFF,,4.0,13.0,0.235,0.0,0.0,0.0,https://pro-football-history.com/coach/13746/rob-sale-bio
99,178541.0,"Matsko, John",31.0,17.0,2/2/1951 0:00:00,0.0,2.0,OC,3.0,Off,,259.0,236.0,0.523,13.0,14.0,0.481,https://pro-football-history.com/coach/1182/john-matsko-bio
100,458751.0,"Colletto, Jim",9.0,28.0,10/2/1944 0:00:00,0.0,2.0,HC,1.0,Off,,67.0,77.0,0.465,5.0,2.0,0.714,https://pro-football-history.com/coach/2663/jim-colletto-bio
101,539859.0,"Groh, Mike",12.0,12.0,12/19/1971 0:00:00,0.0,2.0,QB/WR,2.0,Off,,98.0,96.0,0.505,5.0,4.0,0.556,https://pro-football-history.com/coach/2264/mike-groh-bio
102,162021.0,"Wolf, Mike",21.0,1.0,,0.0,3.0,,0.0,,,187.0,147.0,0.559,11.0,14.0,0.44,https://pro-football-history.com/coach/2316/mike-wolf-bio
103,504854.0,"Beck, James",0.0,17.0,4/1/1980 0:00:00,0.0,,OC,0.0,Off,,,,,,,,
104,286771.0,"Oszvart, Jason",9.0,0.0,1/1/1989 0:00:00,0.0,3.0,Strength Coach,0.0,,,79.0,67.0,0.541,4.0,5.0,0.444,https://pro-football-history.com/coach/2284/jason-oszvart-bio
105,584846.0,"Wilhoite, Michael",5.0,0.0,12/7/1986 0:00:00,7.0,3.0,,0.0,Def,,52.0,31.0,0.626,1.0,3.0,0.25,https://pro-football-history.com/coach/12810/michael-wilhoite-bio
106,740461.0,"Johnson, Bill",18.0,20.0,6/23/1955 0:00:00,0.0,3.0,DL,0.0,Def,,,,,,,,
107,535499.0,"Burns, Burton",2.0,29.0,10/27/1952 0:00:00,0.0,3.0,,0.0,ST,,10.0,23.0,0.303,0.0,0.0,0.0,https://pro-football-history.com/coach/13542/burton-burns-bio
108,985602.0,"Rhome, Jerry",25.0,0.0,3/6/1942 0:00:00,8.0,2.0,,9.0,Off,,171.0,217.0,0.441,7.0,4.0,0.636,https://pro-football-history.com/coach/1235/jerry-rhome-bio
109,264708.0,"Fears, Eric",2.0,0.0,1/1/1976 0:00:00,0.0,3.0,,0.0,,,13.0,19.0,0.406,0.0,0.0,0.0,https://pro-football-history.com/coach/1252/eric-fears-bio
110,556053.0,"Meadows, Luke",0.0,26.0,,0.0,3.0,OL,0.0,Off,,,,,,,,
111,887428.0,"Hernandez, Lou",1.0,28.0,,0.0,3.0,ST,0.0,ST,,10.0,6.0,0.625,0.0,1.0,0.0,https://pro-football-history.com/coach/11960/lou-hernandez-bio
112,662257.0,"Seto, Rocky",7.0,10.0,3/12/1976 0:00:00,0.0,3.0,DC,0.0,Def,,70.0,41.0,0.63,9.0,5.0,0.643,https://pro-football-history.com/coach/1795/rocky-seto-bio
113,728910.0,"Ohnegian, Pete",1.0,2.0,4/9/1971 0:00:00,0.0,3.0,DL,0.0,Def,,12.0,5.0,0.706,0.0,1.0,0.0,https://pro-football-history.com/coach/14045/pete-ohnegian-bio
114,136907.0,"Feagles, Jeff",11.0,0.0,3/7/1966 0:00:00,22.0,3.0,,0.0,,,,,,,,,
115,837823.0,"Scudder, Tyler",3.0,12.0,,0.0,3.0,DC,0.0,Def,,34.0,17.0,0.667,2.0,3.0,0.4,https://pro-football-history.com/coach/13744/tyler-scudder-bio
116,341355.0,"Salazar, Brent",11.0,0.0,5/22/1980 0:00:00,0.0,3.0,,0.0,,,81.0,95.0,0.46,2.0,4.0,0.333,https://pro-football-history.com/coach/2083/brent-salazar-bio
117,688206.0,"Marciano, Tony",8.0,17.0,6/14/1956 0:00:00,0.0,3.0,OC,0.0,Off,,50.0,78.0,0.391,0.0,2.0,0.0,https://pro-football-history.com/coach/1999/tony-marciano-bio
118,974863.0,"Lilly, John",3.0,26.0,6/21/1968 0:00:00,0.0,3.0,TE,0.0,Off,,12.0,37.0,0.245,0.0,0.0,0.0,https://pro-football-history.com/coach/2796/john-lilly-bio
119,915005.0,"Coombs, Brayden",12.0,0.0,10/24/1986 0:00:00,0.0,3.0,,1.0,ST,,92.0,98.0,0.484,0.0,6.0,0.0,https://pro-football-history.com/coach/2197/brayden-coombs-bio
120,280462.0,"Teerlinck, John",23.0,10.0,4/9/1951 0:00:00,0.0,3.0,DC,0.0,Def,,219.0,132.0,0.624,17.0,14.0,0.548,https://pro-football-history.com/coach/1960/john-teerlinck-bio
121,742350.0,"Howard, Reggie",1.0,6.0,5/17/1977 0:00:00,7.0,3.0,DC,0.0,DEF,,4.0,13.0,0.235,0.0,0.0,0.0,https://pro-football-history.com/coach/14052/reggie-howard-bio
122,524336.0,"Waufle, Mike",20.0,19.0,6/27/1954 0:00:00,0.0,3.0,DL,0.0,Def,,164.0,155.0,0.514,8.0,7.0,0.533,https://pro-football-history.com/coach/2527/mike-waufle-bio
123,650583.0,"Flaherty, Shawn",5.0,2.0,6/11/1994 0:00:00,0.0,3.0,GA,0.0,Off,,38.0,45.0,0.458,0.0,0.0,0.0,https://pro-football-history.com/coach/13428/shawn-flaherty-bio
124,106812.0,"Mora Jr., Jim",25.0,5.0,5/24/1935 0:00:00,0.0,1.0,GA,5.0,Def,2004.0,,,,,,,
125,266582.0,"Jackson, Frisman",7.0,11.0,6/12/1979 0:00:00,6.0,3.0,WR,0.0,Off,,38.0,45.0,0.458,1.0,2.0,0.333,https://pro-football-history.com/coach/11234/frisman-jackson-bio
126,225593.0,"Tillman, Rusty",22.0,1.0,2/27/1946 0:00:00,0.0,2.0,HC,5.0,ST,,164.0,196.0,0.456,4.0,5.0,0.444,https://pro-football-history.com/coach/1239/rusty-tillman-bio
127,503202.0,"Wellman, Aaron",4.0,24.0,4/18/1974 0:00:00,0.0,3.0,,0.0,,,23.0,41.0,0.359,0.0,1.0,0.0,https://pro-football-history.com/coach/2739/aaron-wellman-bio
128,707275.0,"Davis, Tim",3.0,21.0,6/17/1958 0:00:00,0.0,3.0,OL,0.0,Off,,16.0,32.0,0.333,0.0,0.0,0.0,https://pro-football-history.com/coach/1246/tim-davis-bio
129,717922.0,"Underwood, Tiquan",1.0,5.0,2/17/1987 0:00:00,6.0,3.0,WR,0.0,Off,,5.0,11.0,0.312,0.0,0.0,0.0,https://pro-football-history.com/coach/12852/tiquan-underwood-bio
130,792463.0,"Parmalee, Bernie",15.0,5.0,9/16/1967 0:00:00,9.0,3.0,TE,0.0,Off,,106.0,137.0,0.436,1.0,3.0,0.25,https://pro-football-history.com/coach/1273/bernie-parmalee-bio
131,322795.0,"Schwartz, Jim",27.0,4.0,6/2/1966 0:00:00,0.0,1.0,LB,15.0,Def,2009.0,245.0,236.0,0.509,10.0,12.0,0.455,https://pro-football-history.com/coach/364/jim-schwartz-bio
132,861722.0,"Olivo, Brock",6.0,12.0,6/24/1976 0:00:00,4.0,3.0,HC,1.0,ST,,57.0,39.0,0.594,1.0,3.0,0.25,https://pro-football-history.com/coach/2203/brock-olivo-bio
